password,label
t5&P80QtJ!F,2
!k*2bzK6QKbSqA,2
Snhepd2,1
Isfczx2,1
qwerty99,0
eJdumAHE6SO62^,2
Kxwotl7,1
Wfkwdak3,1
55914,0
Bb$hIZ4KRHf9,2
Hr%cyLY5Vr,2
799440,0
Eqatdtpg6,1
3291,0
Qgmdrba0,1
180319,0
793480,0
0xiGlI!&miZ,2
Tfrsfvm2,1
Oriswdm2,1
Layhm1,1
Uadrrte2,1
yqtijcs,0
Svticn1,1
uztdrvn,0
Sgbefy3,1
zcrppq,0
JkTyu4db*2l0*,2
Vhjioqrv7,1
letmein26,0
lK8PN^f9yz,2
i%keV$X%yLka9@,2
$Y0eONzXHif4e,2
35892,0
Vo&L1rCa7#DA,2
f!ws**5QBX2,2
welcome17,0
709656,0
Hcpsukdt0,1
password17,0
Kyfhtc4,1
Ursicbg6,1
Fqwqpibd3,1
Pkyilfbo0,1
nmhl,0
Nrzzefnu0,1
58604,0
letmein59,0
23908,0
rrec,0
Prulkba6,1
5822,0
5HhRRzkl*y,2
Toqndwbp1,1
pdaup,0
Vwmeg4,1
NTFGvmNqI2@rP%,2
maffc,0
Rdkrewn7,1
uneqvg,0
5986,0
T$Z%ZrV2Z5*$,2
qwerty20,0
password7,0
letmein74,0
Ocmwsbs3,1
Dpggbsd6,1
Ljokkzvo7,1
@!VPj3O^S8tgF,2
higdxox,0
Abhflnua5,1
Birljnr1,1
574178,0
Fvrujen2,1
welcome99,0
8197,0
5754,0
CQgX@Jas1g,2
3661,0
Mxawwv0,1
k2tLP9*2g^,2
565045,0
6680,0
91874,0
Rrilk0,1
hQZybe0#*6Z,2
password88,0
letmein47,0
Hkkftxb6,1
Wphgtmsf2,1
!LL6YG&ud6,2
qwerty37,0
v8c6oAh@WwX,2
6gUubqBC%rS83&,2
A1W!#m9XksVu1Y,2
Ovhhf8,1
@AP8p7V%6x,2
Zjzhxg1,1
NH#5AiPlt#,2
vZp^WwGVkETqV9,2
gp5&kZFopF*#,2
qwerty84,0
Cywqx2,1
Pwgnp6,1
Kpqri4,1
welcome2,0
admin21,0
Kkzwqqcg6,1
6YmAKZ*3KO,2
Ehvkp9,1
Kgvvcg1,1
Lfefb3,1
Bymsyvp7,1
Lrodd4,1
2449,0
1C^RLOnKJ%tt&,2
welcome59,0
qwerty5,0
Btfksor4,1
Rlglkb6,1
frrnena,0
Lzcksevr4,1
22805,0
00682,0
u0d^k2ipV!qq,2
Mzrytse6,1
c1tu@1qNd5$t*k,2
admin78,0
1621,0
^5O7kFkPMB4I,2
Cummu0,1
eMk*kM*jdK0d,2
4890,0
3&4v@P$ZfH,2
lm*&vn54BNMd@,2
raadiu,0
Uafgw3,1
Qnncsl3,1
MYa9#4%V2Y,2
%ZlLL#Z7!x*Qc^,2
Itfaya1,1
Bilfdz6,1
Xmgac2,1
7tEvOGkn$&oD,2
Kbjpus7,1
Eibaf4,1
Wsfmca9,1
Iceoi2,1
Mavxl3,1
admin13,0
nyoomgv,0
Fuukhhlu9,1
696951,0
y*HCHAH7Zk,2
eqqskt,0
04420,0
2gI*N8NXw8lj,2
Mkszxli0,1
rv10SCrDI%,2
Pizdug9,1
Xzum#4o$hU,2
25328,0
Prxeo0,1
rj1MX3HZF@a,2
Sxpezjs5,1
^fpcZ0UF0LjFT,2
Vpfnimh8,1
PvCCiA8&qN9&Nh,2
$V7I32VDlkPYM,2
teigd,0
lxlbym,0
Fuebtkx6,1
651175,0
AoT&YzE5!@,2
mVWeqnf14lF@1J,2
Biuvmjbv8,1
0BBk5#K4ol4,2
qwerty51,0
gctvhcp,0
oKi0G*pwxX8R7^,2
Ukbcv0,1
letmein94,0
fgRq$oG8x2mlQq,2
admin63,0
password86,0
admin18,0
admin20,0
b*ufQ0$1zur,2
Oaaqbi8,1
4099,0
Cfsuea1,1
ZR%50W3Tt$X,2
0153,0
r37^nr3ISQZ,2
Pajejz4,1
Esjiwvq4,1
yYp4&j@k0B,2
9u$27yL39SDT,2
Blxjto1,1
BnHDgK!17u4#5,2
Vayvnzll8,1
welcome56,0
letmein70,0
q&5xR&Erk!Jp,2
TA8kMZ!Q0n#y1n,2
Aqigjvb8,1
0774,0
mEty@2z2C%ef^,2
ruH@yOueL3,2
npqt,0
prbza,0
Zvhmu2,1
hcwkvc,0
e7k&CUKWz@2Zf,2
Jzkqgizl0,1
Nmjvbq2,1
Iiweqlnw3,1
eDjSxE*qCSxO0n,2
hefnwd,0
nl9c1x1%7Q7Cv,2
Sccagf1,1
4766,0
19625,0
2779,0
Nllol7,1
ujrx,0
r6ZR7S&RAeZT,2
Cmaobxu2,1
Hohdclb4,1
#fBfx6ja6o@G%,2
b@Rc55V0mGu,2
mip1#y@^BWT,2
Psqkehqt3,1
admin1,0
531625,0
*XVZ#w9yI6H,2
qTc!i3tfA%,2
wdvdmw,0
Bnpszmg9,1
Vbgwl7,1
Kuhjc5,1
b2in#KYdeV#,2
xq%*Lmashw8cY,2
894125,0
Hwndh5,1
mygx,0
letmein21,0
Tqlnzli2,1
89hCkF!rP*,2
password34,0
Ccduqfwf5,1
u8i0QzpcP4!J,2
D67Ub@Mjq1,2
Buchevy8,1
uskcx,0
letmein36,0
Ltwpfotn9,1
pXHk^QV3PaQ1,2
120344,0
77371,0
0d&T6hP4$!9##,2
Svjmyy2,1
Cotjyr5,1
Ez51xi$J#qYu,2
Kbtmtzdv4,1
z&5aB&cHy4U,2
Oihrnx9,1
Qqsflzxp3,1
lf$O4sQqLQ,2
dsocqc,0
Mhtpk3,1
yiVs5OeIm*6h@H,2
74544,0
password41,0
6nb!uO0SNK2,2
1360,0
rdcu,0
XC0hEJ7Jh6T1@,2
ryaG!80@JA2d,2
Gagywgb7,1
Auygki5,1
Jwdwfd8,1
0OZh&S@kpXW,2
nV#95wao^8@u,2
Cxgtpkpv1,1
EYg%$#6V&S,2
W7*@0nzSVvZ,2
Xlaksoit5,1
woYgRi066L!$9$,2
Yjkxriow0,1
password1,0
Pqtfyhk6,1
Blfusymm7,1
admin4,0
965548,0
c2NPOeJGz%xG!,2
^XcgySS0x350jX,2
&FO&s!OvM7,2
XWzV0e^oU1,2
lfkb,0
letmein31,0
%4jyw7GI&1,2
wzH#1oeIxx,2
%FP@d5UNm6WAFt,2
nmBmr%3#9OC1R8,2
Ljzun8,1
qwerty38,0
Vlnhyt7,1
admin87,0
Hbqioyp2,1
Ofycc3,1
Iytmxby1,1
2799,0
password7,0
IN0Jfs#OYA,2
Fikhzm5,1
88XT7hrT^nM3D,2
Rmswwn3,1
liu@aPBH3YFn,2
*Icme0RZ!8%*,2
Scjmsobx2,1
Y*@$A51pT8E0pG,2
letmein52,0
4693,0
51725,0
gzm&960O*pR7,2
Jmufgd4,1
nsxjb,0
Egmyydo8,1
WI17Q^f0I4kw,2
Lrycqh8,1
!g6T#XZrz7t,2
Syp4fCWU^BxSN,2
oT!pdF$bjy7hn,2
prgbzgs,0
4!vhS^TLBo,2
Ldzjurt6,1
Sdhtq1,1
!cVGSH5mX%3$c,2
qwerty37,0
r^62E4GVL!f*D,2
^OogII2xU5$,2
Xanrcl8,1
v3sMgh1@O2vt$,2
!JfyysdM0^F,2
Koufqxrt9,1
admin22,0
Oaijd0,1
admin60,0
letmein2,0
Lpygmopk7,1
welcome39,0
Gfiyyp7,1
Nyaiv8,1
welcome15,0
